"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"30-Nov-2023","EQ","127.80","128.85","126.50","127.75","127.90","127.90","127.97","135.00","101.55","4,01,65,104","5,13,99,85,066.50","1,73,510"
"29-Nov-2023","EQ","127.15","128.15","126.70","126.85","127.80","127.75","127.60","135.00","101.55","2,30,92,165","2,94,64,45,299.55","1,37,907"
"28-Nov-2023","EQ","127.00","127.00","126.00","125.95","126.95","126.85","126.49","135.00","101.55","1,83,77,843","2,32,45,66,454.85","1,37,072"
"24-Nov-2023","EQ","126.70","127.00","125.55","126.70","126.05","125.95","126.15","135.00","101.55","1,47,19,450","1,85,67,93,943.75","1,04,736"
"23-Nov-2023","EQ","126.35","127.40","125.90","126.10","126.75","126.70","126.78","135.00","101.55","3,07,36,851","3,89,67,87,469.35","1,52,378"
"22-Nov-2023","EQ","126.40","126.90","125.50","126.25","126.30","126.10","126.11","135.00","101.55","1,95,88,063","2,47,03,14,487.15","1,12,127"
"21-Nov-2023","EQ","125.05","126.40","124.95","124.35","126.20","126.25","125.95","135.00","101.55","2,96,43,312","3,73,35,34,250.25","1,52,063"
"20-Nov-2023","EQ","125.05","125.65","124.05","125.20","124.25","124.35","124.89","135.00","101.55","1,87,80,290","2,34,54,28,249.95","1,44,456"
"17-Nov-2023","EQ","124.70","125.75","124.30","124.70","125.00","125.20","125.16","135.00","101.55","2,33,19,439","2,91,85,81,820.75","1,30,629"
"16-Nov-2023","EQ","124.00","125.25","123.00","124.05","124.40","124.70","124.48","135.00","101.55","3,08,36,413","3,83,85,18,574.75","1,65,433"
"15-Nov-2023","EQ","121.70","124.40","121.50","121.00","124.10","124.05","123.38","135.00","101.55","3,83,44,393","4,73,09,75,784.75","1,83,566"
"13-Nov-2023","EQ","120.85","121.25","119.90","120.85","120.80","121.00","120.74","135.00","101.55","1,79,51,775","2,16,74,12,969.40","1,28,808"
"12-Nov-2023","EQ","121.60","121.60","120.60","120.05","120.85","120.85","120.92","135.00","101.55","39,84,034","48,17,33,972.85","69,992"
"10-Nov-2023","EQ","119.50","120.45","118.80","119.65","120.15","120.05","119.81","135.00","101.55","2,35,84,510","2,82,56,63,511.45","1,37,597"
"09-Nov-2023","EQ","119.20","120.50","118.85","119.05","119.65","119.65","119.70","135.00","101.55","2,29,79,112","2,75,05,17,129.70","1,32,295"
"08-Nov-2023","EQ","119.75","120.50","118.55","119.65","119.05","119.05","119.11","135.00","101.55","2,25,52,386","2,68,61,43,473.10","1,28,934"
"07-Nov-2023","EQ","119.30","120.20","118.40","119.40","119.75","119.65","119.62","135.00","101.55","2,58,18,033","3,08,84,35,269.90","1,35,129"
"06-Nov-2023","EQ","118.50","119.65","117.50","117.30","119.60","119.40","118.62","135.00","101.55","2,78,83,152","3,30,74,44,876.55","1,50,363"
